Movie,name,star,content,URL,avgStar
가을 소나타,박평식,7,"삶의 신경증, 그 위태로운 3중주",https://movie.naver.com/movie/bi/mi/point.nhn?code=11167,8.30
가을 소나타,유지나,8,"보이지 않는 걸 잡아내는 명작의 힘, 깊이 들여다보자",https://movie.naver.com/movie/bi/mi/point.nhn?code=11167,8.30
가을 소나타,이용철,8,베리만의 가족드라마를 이해하는 데는 나이가 필요하다,https://movie.naver.com/movie/bi/mi/point.nhn?code=11167,8.30
가까이서 본 기차,김혜리,8,희극과 비극의 완전한 도킹,https://movie.naver.com/movie/bi/mi/point.nhn?code=11719,7.71
가까이서 본 기차,박평식,8,체코영화 새 물결의 원류다운 희비극의 절묘한 조화,https://movie.naver.com/movie/bi/mi/point.nhn?code=11719,7.71
가까이서 본 기차,이동진,7,생각하는 자에겐 모든 게 희극이고 느끼는 자에겐 모든 게 비극이다,https://movie.naver.com/movie/bi/mi/point.nhn?code=11719,7.71
가까이서 본 기차,유지나,8,희극적 에로스 에너지의 폭파력에 경배를!,https://movie.naver.com/movie/bi/mi/point.nhn?code=11719,7.71
