NO,stars,day
246,9.79,2018.06.05
247,9.79,2018.06.03
248,9.78,2018.06.01
249,9.78,2018.05.29
250,9.77,2018.05.26
251,9.82,2018.05.24
252,9.82,2018.05.21
253,9.81,2018.05.19
254,9.81,2018.05.17
255,9.80,2018.05.15
256,9.80,2018.05.13
257,9.78,2018.05.11
258,9.71,2018.05.09
259,9.42,2018.05.07
260,9.60,2018.05.04
261,9.79,2018.04.30
262,9.80,2018.04.29
263,9.75,2018.04.27
264,9.82,2018.04.23
265,9.84,2018.04.21
266,9.81,2018.04.19
267,9.82,2018.04.16
268,9.83,2018.04.14
269,9.84,2018.04.12
270,9.83,2018.04.10
271,9.79,2018.04.08
272,9.81,2018.04.05
273,9.80,2018.04.03
274,9.78,2018.04.01
275,9.80,2018.03.29
276,9.78,2018.03.27
277,9.75,2018.03.25
278,9.77,2018.03.23
279,9.80,2018.03.20
280,9.77,2018.03.18
281,9.75,2018.03.15
282,9.72,2018.03.13
283,9.69,2018.03.11
284,9.73,2018.03.09
285,9.71,2018.03.06
286,9.76,2018.03.04
287,9.72,2018.03.02
288,9.79,2018.02.26
289,9.78,2018.02.25
290,9.75,2018.02.23
291,9.77,2018.02.20
292,9.73,2018.02.18
293,9.73,2018.02.15
294,9.82,2018.02.13
295,9.83,2018.02.11
296,9.80,2018.02.08
297,9.82,2018.02.05
298,9.83,2018.02.03
299,9.83,2018.02.01
300,9.83,2018.01.29
301,9.84,2018.01.27
302,9.83,2018.01.25
303,9.83,2018.01.22
304,9.82,2018.01.20
305,9.79,2018.01.18
306,9.81,2018.01.15
307,9.80,2018.01.13
308,9.81,2018.01.11
309,9.83,2018.01.09
310,9.76,2018.01.07
311,9.74,2018.01.05
312,9.74,2018.01.02
313,9.78,2017.12.30
314,9.80,2017.12.28
315,9.80,2017.12.26
316,9.77,2017.12.23
317,9.81,2017.12.21
318,9.80,2017.12.18
319,9.80,2017.12.17
320,9.79,2017.12.14
321,9.81,2017.12.11
322,9.81,2017.12.09
323,9.81,2017.12.07
324,9.79,2017.12.05
325,9.79,2017.12.02
326,9.80,2017.12.01
327,9.79,2017.11.28
328,9.80,2017.11.25
329,9.81,2017.11.23
330,9.82,2017.11.20
331,9.81,2017.11.18
332,9.81,2017.11.16
333,9.80,2017.11.13
334,9.81,2017.11.11
335,9.82,2017.11.09
336,9.77,2017.11.07
337,9.72,2017.11.05
338,9.79,2017.11.02
339,9.78,2017.10.31
340,9.68,2017.10.29
341,9.70,2017.10.27
342,9.76,2017.10.24
343,9.77,2017.10.22
344,9.79,2017.10.19
345,9.81,2017.10.16
346,9.80,2017.10.15
347,9.78,2017.10.12
348,9.78,2017.10.10
349,9.77,2017.10.08
350,9.76,2017.10.06
351,9.77,2017.10.03
352,9.77,2017.09.30
353,9.81,2017.09.28
354,9.80,2017.09.25
355,9.78,2017.09.24
356,9.76,2017.09.22
357,9.73,2017.09.19
358,9.65,2017.09.17
359,9.76,2017.09.14
360,9.73,2017.09.13
361,9.57,2017.09.11
362,9.49,2017.09.09
363,9.45,2017.09.05
364,9.66,2017.09.03
365,9.73,2017.08.31
366,9.80,2017.08.28
367,9.80,2017.08.26
368,9.80,2017.08.24
369,9.80,2017.08.21
370,9.82,2017.08.19
371,9.80,2017.08.17
372,9.79,2017.08.14
373,9.79,2017.08.12
374,9.62,2017.08.04
375,9.75,2017.07.31
376,9.80,2017.07.29
377,9.79,2017.07.27
378,9.80,2017.07.24
379,9.78,2017.07.22
380,9.82,2017.07.20
381,9.77,2017.07.17
382,9.74,2017.07.15
383,9.77,2017.07.13
384,9.66,2017.07.11
385,9.55,2017.07.09
386,9.58,2017.07.07
387,9.66,2017.07.03
388,9.71,2017.07.02
389,9.69,2017.06.30
390,9.69,2017.06.26
391,9.76,2017.06.24
392,9.73,2017.06.22
393,9.64,2017.06.20
394,9.47,2017.06.18
395,9.53,2017.06.16
396,9.44,2017.06.13
397,9.27,2017.06.11
398,9.35,2017.06.09
399,9.35,2017.06.06
400,9.50,2017.06.03
401,9.68,2017.06.01
402,9.31,2017.05.30
403,9.00,2017.05.28
